timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos,cluster
1733069144,17.847082776565195,78.21376990346705,30000,455,6,39,27.2,60,13.0,,1006.0,100,28.6,18.7,10.0,17.4,6.0,19,0.3090169943749474,0.9510565162951536,5
1733155892,17.847082776565195,78.21376990346705,38000,455,357,39,26.2,68,13.0,,1008.0,58,27.9,19.9,10.0,20.5,6.0,20,0.1045284632676534,0.9945218953682732,5
1733241641,17.847082776565195,78.21376990346705,35975,470,1,39,27.9,61,10.8,,1009.0,100,29.7,19.7,10.0,14.8,6.0,21,0.9659258262890684,-0.2588190451025208,3
1733329668,17.847082776565195,78.21376990346705,33975,455,8,39,26.6,69,8.3,,1010.0,52,28.6,20.5,10.0,11.2,7.0,22,0.9743700647852352,-0.224951054343865,3
1733414084,17.847082776565195,78.21376990346705,36050,466,2,39,28.8,57,9.0,,1009.0,71,30.6,19.4,10.0,12.4,6.0,23,0.9945218953682732,0.1045284632676534,3
1733501655,17.847082776565195,78.21376990346705,32000,481,3,39,29.4,51,5.0,,1009.0,27,30.7,18.2,10.0,6.8,7.0,24,0.8090169943749475,0.5877852522924731,5
1733587636,17.847082776565195,78.21376990346705,36000,475,5,39,26.8,57,6.1,,1009.0,81,27.8,17.5,10.0,9.4,6.0,25,1.2246467991473532e-16,-1.0,5
1733674192,17.847082776565195,78.21376990346705,36000,480,1,39,27.5,59,2.2,,1008.0,85,28.9,18.7,10.0,3.3,6.0,26,0.5446390350150273,-0.8386705679454239,5
1733760204,17.847082776565195,78.21376990346705,38000,473,3,39,27.1,61,9.7,,1009.0,84,28.5,19.0,10.0,12.5,6.0,27,-0.5150380749100545,0.8571673007021121,5
1733846313,17.847082776565195,78.21376990346705,35975,486,4,39,25.9,35,16.2,,1011.0,4,25.7,9.4,10.0,18.9,7.0,28,0.4383711467890774,0.898794046299167,0
1733931985,17.847082776565195,78.21376990346705,32000,468,3,39,26.0,26,9.4,,1011.0,0,25.0,4.9,10.0,10.9,7.0,29,0.3090169943749474,0.9510565162951536,0
