timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos,cluster
1739597155,21.624750411210314,77.76776131388607,36000,439,346,57,18.2,27,2.5,,1012.0,0,18.2,-1.1,10.0,5.3,0.0,0,-0.9945218953682734,-0.1045284632676533,2
1739683580,21.624750411210314,77.76776131388607,36000,436,346,57,18.9,27,5.4,,1012.0,1,19.0,-0.2,10.0,11.3,0.0,1,-0.961261695938319,-0.2756373558169989,2
1739771998,21.624750411210314,77.76776131388607,36000,478,23,57,19.4,33,5.8,,1013.0,0,19.4,2.7,10.0,12.1,0.0,2,-0.9781476007338056,0.2079116908177594,2
1739856068,21.624750411210314,77.76776131388607,36050,438,346,57,20.0,33,2.2,,1013.0,2,20.0,3.4,10.0,4.5,0.0,3,-0.6427876096865396,0.7660444431189778,2
1739942350,21.624750411210314,77.76776131388607,35975,421,350,57,19.8,42,3.6,,1012.0,1,19.8,6.6,10.0,7.6,0.0,4,-0.1218693434051472,0.992546151641322,2
1740114600,21.624750411210314,77.76776131388607,36000,428,346,57,19.6,32,3.6,,1014.0,0,19.6,2.6,10.0,7.6,0.0,5,-0.9993908270190958,0.0348994967025012,2
1740461899,21.624750411210314,77.76776131388607,34025,406,352,57,18.0,27,7.6,,1017.0,3,18.0,-1.1,10.0,15.9,0.0,6,0.6819983600624985,0.7313537016191705,0
1740548433,21.624750411210314,77.76776131388607,36025,392,347,57,19.2,24,3.6,,1017.0,14,19.2,-2.0,10.0,7.6,0.0,7,0.9993908270190958,0.034899496702501,0
1740633258,21.624750411210314,77.76776131388607,34000,414,352,57,21.3,28,5.8,,1015.0,30,21.3,2.0,10.0,12.1,0.0,8,0.7431448254773942,-0.6691306063588582,0
1738946478,21.624750411210314,77.76776131388607,38050,465,346,57,27.8,18,13.7,,1012.0,12,25.8,1.6,10.0,16.4,7.0,100,-0.1218693434051472,0.992546151641322,1
1739379153,21.624750411210314,77.76776131388607,37975,440,353,57,29.7,12,18.4,,1011.0,0,27.5,-2.2,10.0,21.9,7.0,101,-0.8571673007021123,0.5150380749100542,1
1739463643,21.624750411210314,77.76776131388607,34000,420,334,57,29.1,12,15.1,,1012.0,0,27.0,-3.4,10.0,18.0,7.0,102,-0.2419218955996678,0.9702957262759964,1
1739551079,21.624750411210314,77.76776131388607,35975,434,355,57,29.7,13,15.1,,1011.0,0,27.5,-1.2,10.0,18.1,7.0,103,-0.3907311284892739,0.9205048534524404,1
1739983120,21.624750411210314,77.76776131388607,30000,400,346,57,30.6,16,19.1,,1008.0,14,28.4,2.1,10.0,22.0,8.0,104,-0.8191520442889918,0.573576436351046,1
1740243755,21.624750411210314,77.76776131388607,34000,409,343,57,28.6,17,12.6,,1013.0,4,26.5,1.5,10.0,18.0,7.0,105,-0.2079116908177598,0.9781476007338056,1
1740329087,21.624750411210314,77.76776131388607,36000,377,349,57,30.4,12,17.3,,1013.0,0,28.2,-2.0,10.0,19.9,8.0,106,-0.6293203910498378,0.7771459614569706,1
1740414478,21.624750411210314,77.76776131388607,30000,428,345,57,30.5,14,11.5,,1013.0,2,28.2,-0.4,10.0,13.3,8.0,107,-0.3255681544571567,0.9455185755993168,1
1740501124,21.624750411210314,77.76776131388607,34000,408,353,57,31.2,12,10.8,,1014.0,6,29.0,-1.8,10.0,12.5,8.0,108,-0.1391731009600658,0.9902680687415704,1
1738698101,21.624750411210314,77.76776131388607,36000,491,346,57,24.3,31,9.4,,1011.0,6,24.4,6.1,10.0,19.7,0.0,110,-0.6427876096865393,-0.766044443118978,2
1739389492,21.624750411210314,77.76776131388607,38025,430,354,57,22.7,19,6.5,,1013.0,0,22.4,-1.8,10.0,13.6,0.0,111,-0.8386705679454243,0.5446390350150266,1
1739564048,21.624750411210314,77.76776131388607,36000,444,353,57,22.1,21,4.7,,1014.0,0,22.2,-1.4,10.0,9.8,0.0,112,-0.7193398003386511,0.6946583704589973,1
