timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos,cluster
1739593245,13.451989295996071,77.55902710723274,36000,459,3,17,18.0,48,10.1,,1012.0,0,18.0,6.8,10.0,21.2,0.0,0,0.3090169943749475,-0.9510565162951536,2
1739679627,13.451989295996071,77.55902710723274,36000,450,6,17,17.7,68,10.4,,1012.0,0,17.7,11.8,10.0,21.9,0.0,1,0.7193398003386511,-0.6946583704589974,2
1739768242,13.451989295996071,77.55902710723274,35275,458,3,17,17.1,76,11.5,,1014.0,0,17.1,12.7,10.0,24.2,0.0,2,0.777145961456971,-0.6293203910498373,0
1739852134,13.451989295996071,77.55902710723274,36000,463,7,17,17.7,75,11.2,,1014.0,0,17.8,13.2,10.0,23.4,0.0,3,0.7071067811865476,-0.7071067811865475,0
1739938271,13.451989295996071,77.55902710723274,33975,454,7,17,18.4,64,11.5,,1012.0,0,18.4,11.4,10.0,24.2,0.0,4,0.5446390350150273,-0.8386705679454239,2
1740110676,13.451989295996071,77.55902710723274,32750,490,2,17,18.8,68,11.5,,1013.0,4,18.8,12.8,10.0,24.2,0.0,5,0.7193398003386511,-0.6946583704589974,2
1740457636,13.451989295996071,77.55902710723274,32000,440,16,17,16.3,61,13.3,,1015.0,0,16.3,8.8,10.0,28.0,0.0,6,0.90630778703665,-0.4226182617406993,0
1740544110,13.451989295996071,77.55902710723274,36000,428,15,17,17.0,72,10.1,,1016.0,0,17.0,12.0,10.0,21.2,0.0,7,0.984807753012208,-0.1736481776669303,0
1740628972,13.451989295996071,77.55902710723274,36000,455,3,17,17.7,51,10.8,,1015.0,0,17.7,7.5,10.0,22.7,0.0,8,0.984807753012208,-0.1736481776669303,0
1738942807,13.451989295996071,77.55902710723274,32200,479,7,17,30.7,14,21.2,,1010.0,0,28.4,-0.0,10.0,24.4,8.0,100,0.9876883405951378,-0.1564344650402308,1
1739375280,13.451989295996071,77.55902710723274,36000,459,2,17,32.2,15,19.1,,1010.0,2,30.0,2.5,10.0,22.0,8.0,101,0.7771459614569709,0.6293203910498375,3
1739459838,13.451989295996071,77.55902710723274,34000,472,3,17,32.4,16,17.6,,1010.0,2,30.2,3.3,10.0,20.3,8.0,102,0.7431448254773942,0.6691306063588582,3
1739547143,13.451989295996071,77.55902710723274,35975,459,3,17,32.2,15,15.8,,1009.0,2,30.0,2.8,10.0,18.2,8.0,103,0.7071067811865476,0.7071067811865476,3
1739979019,13.451989295996071,77.55902710723274,34100,460,8,17,32.7,18,13.0,,1008.0,4,30.5,5.7,10.0,14.9,8.0,104,0.8090169943749475,0.5877852522924731,3
1740239724,13.451989295996071,77.55902710723274,28050,459,3,17,32.0,19,19.4,,1011.0,5,29.8,5.5,10.0,22.4,8.0,105,0.6293203910498374,0.7771459614569709,3
1740324848,13.451989295996071,77.55902710723274,36000,442,18,17,31.5,19,21.6,,1011.0,5,29.3,5.0,10.0,24.8,8.0,106,0.6819983600624985,0.7313537016191705,3
1740410504,13.451989295996071,77.55902710723274,30000,460,18,17,31.0,15,21.2,,1011.0,2,28.8,1.6,10.0,24.4,8.0,107,0.9510565162951536,0.3090169943749474,1
1740496970,13.451989295996071,77.55902710723274,30050,430,8,17,30.5,17,22.0,,1012.0,3,28.2,2.7,10.0,25.3,8.0,108,0.9993908270190958,0.034899496702501,1
1738694531,13.451989295996071,77.55902710723274,36000,482,3,17,24.6,24,14.8,,1011.0,0,24.0,2.9,10.0,30.6,6.0,110,0.9743700647852352,-0.224951054343865,1
1739385597,13.451989295996071,77.55902710723274,37975,469,3,17,25.9,23,14.8,,1012.0,0,24.8,3.6,10.0,31.0,7.0,111,0.8571673007021123,0.5150380749100542,1
1739560117,13.451989295996071,77.55902710723274,34000,470,17,17,24.7,24,13.0,,1012.0,2,24.0,2.6,10.0,27.2,0.0,112,0.8290375725550417,0.5591929034707468,1
