timestamp,lat,lon,altitude,speed,direction,waypoint_ID
1735915101,10.153991679012346,76.3907081111111,0,11,87,0
1735916040,10.421403372654131,76.66085927082142,14875,365,26,1
1735916105,10.506826416678226,76.70236628436182,17325,378,26,2
1735916170,10.62753601065119,76.75746308559965,19475,390,26,3
1735916262,10.776186716332145,76.8203939127595,22100,414,26,4
1735916358,10.945157716286456,76.8865925846169,24650,426,26,5
1735916454,11.127644724340314,76.95327230563768,26800,438,27,6
1735916548,11.318330007150855,77.01920150905376,28375,453,27,7
1735916642,11.513554686146064,77.08408813016672,30100,459,27,8
1735916737,11.711104790845887,77.14799170128917,31575,470,26,9
1735916832,11.909813104123014,77.2109734340695,32300,476,26,10
1735916926,12.109154995583738,77.27299105035752,33975,470,25,11
1735917021,12.308936420422748,77.33394201110872,34000,471,20,12
1735917114,12.509097519196734,77.39375157892471,34025,477,20,13
1735917209,12.709605390214172,77.4524408390919,34025,478,20,14
1735917305,12.910415356548729,77.51012765892526,34000,478,20,15
1735917400,13.11147625670806,77.56695895168625,34000,479,20,16
1735917493,13.312749277270743,77.62301089737193,34800,480,11,17
1735917588,13.514231378668711,77.67818284603239,36000,480,2,18
1735917684,13.71597259927522,77.73211500851446,36000,472,2,19
1735917780,13.918079045387191,77.78416400686449,36000,469,2,20
1735917875,14.12069798535273,77.83346464349917,36000,469,2,21
1735917971,14.323985706364606,77.87908773424216,36000,469,2,22
1735918065,14.528065788567112,77.92026401301517,36025,468,2,23
1735918160,14.732992036597803,77.95660036700218,35975,465,2,24
1735918254,14.938731113169256,77.98819967241155,35975,466,2,25
1735918350,15.145172025593189,78.01563056959904,36000,468,2,26
1735918417,15.352157522945175,78.03976332358786,36000,470,2,27
1735918514,15.559522544700144,78.06154585445285,36025,472,2,28
1735918610,15.767125172576735,78.08180579167492,36000,474,2,29
1735918705,15.974862191506954,78.10112924632486,36000,475,2,30
1735918800,16.18267029080984,78.11981652679412,36025,475,2,31
1735918895,16.39051898719864,78.13788559550791,36000,473,2,32
1735918989,16.598401350575152,78.15509799784533,36000,470,2,33
1735919085,16.806325690522307,78.17100569695916,35950,468,2,34
1735919181,17.014308473495255,78.18503422329727,36000,470,2,35
1735919275,17.222367707076643,78.19661062697293,36025,474,2,36
1735919374,17.430516590668915,78.20531316302339,36000,474,2,37
1735919470,17.638758323886687,78.21098723902375,36000,474,2,38
1735919565,17.847082776565195,78.21376990346705,36000,474,2,39
1735919658,18.05546504929316,78.21399806883615,36000,474,2,40
1735919753,18.263864507930467,78.21202640460123,36000,473,2,41
1735919847,18.472222739089812,78.20802190741115,36000,472,2,42
1735919943,18.68046079691369,78.20181174883378,36000,471,2,43
1735920039,18.888478895714755,78.19284432773253,36000,469,2,44
1735920133,19.096163074045776,78.18028954480712,36000,468,2,45
1735920226,19.303401320495293,78.16325910452946,36000,466,2,46
1735920320,19.510106436793,78.14107873646246,35975,467,2,47
1735920417,19.716237572663857,78.1135126155324,36000,470,2,48
1735920510,19.92181101242469,78.08085193502792,36025,472,2,49
1735920604,20.126894837528983,78.04383678174275,36000,474,2,50
1735920697,20.331590123955017,78.003458672281,36000,473,2,51
1735920791,20.53600747083258,77.96073736564827,36000,471,358,52
1735920886,20.740248697785496,77.91656272576309,36000,462,347,53
1735920982,20.94439977444528,77.87164271633473,36000,462,347,54
1735921107,21.148534954971748,77.82654673205869,36000,461,346,55
1735921201,21.35272719374521,77.78179703845348,36000,459,346,56
1735921296,21.55705760157928,77.73795061630145,36000,458,346,57
1735921389,21.7616172703183,77.695623731641,36000,452,346,58
1735921485,21.966498160951,77.65543764995141,36000,451,346,59
1735921579,22.17177525198118,77.61790168270977,36000,448,346,60
1735921674,22.37748742674377,77.58328468971064,36000,450,346,61
1735921799,22.583626504785705,77.55153946681057,34100,441,346,62
1735921893,22.790140226885768,77.52232095359082,34000,458,354,63
1735921988,22.996947973615534,77.49509084704368,34000,461,354,64
1735922085,23.20396197491938,77.46926235587799,34000,463,354,65
1735922178,23.41110559825161,77.44432919931619,34000,464,354,66
1735922272,23.618323791192363,77.41994645581349,34000,465,354,67
1735922366,23.82558566122376,77.39596282618038,34000,469,354,68
1735922462,24.032882140798076,77.37242172762762,34025,470,354,69
1735922557,24.240221636600623,77.3495438072052,34025,469,354,70
1735922656,24.447624821865613,77.32768830691326,33975,469,354,71
1735922751,24.655118317368867,77.30728233937825,33975,472,354,72
1735922845,24.86272711049589,77.28871703325987,34000,473,354,73
1735922939,25.07046687869739,77.27223281584294,34025,478,358,74
1735923034,25.278335068971177,77.25783641100593,34000,476,358,75
1735923129,25.48631133282337,77.24528627605633,34000,475,358,76
1735923222,25.694347011853225,77.23415606635665,34000,474,358,77
1735923317,25.90234813374916,77.2239563190218,34000,472,358,78
1735923413,26.11014499155405,77.21427429916073,33625,460,358,79
1735923507,26.317411595249787,77.20489654882255,32125,461,357,80
1735923603,26.523558426577345,77.19590303823102,30550,474,357,81
1735923698,26.727624156273897,77.18771663756641,28975,464,357,82
1735923795,26.92818812401609,77.18113261382705,27375,450,357,83
1735923889,27.12338488184912,77.17729117806796,24825,423,357,84
1735923986,27.311038369926035,77.17757790268709,21550,400,357,85
1735924112,27.488899968099528,77.18340784883114,18475,348,357,86
1735924210,27.654907931197226,77.19588315604605,16575,312,9,87
1735924319,27.80737648782599,77.21527881508524,14025,298,9,88
1735924427,27.9450680487134,77.24039816753069,11500,286,9,89
1735924512,28.0671819771346,77.26802390497339,10150,274,9,90
1735924608,28.17333886111472,77.29291438135562,9500,243,9,91
1735924690,28.26360339888014,77.30880152355672,9000,242,9,92
1735924781,28.33851203637173,77.31036213002994,8525,247,100,93
1735925426,28.39902677858604,77.29543541661616,2625,200,120,94
1735925351,28.446404908285807,77.26628912118764,2900,196,184,95
1735925319,28.482018260271253,77.22913847402407,2900,195,193,96
1735925984,28.50721431879122,77.19212124349244,2050,125,284,97
1735926030,28.52320737383829,77.16288023022997,1525,129,284,98
1735926059,28.53094058074128,77.14689349281619,1225,133,284,99
