timestamp,lat,lon,altitude,speed,direction,waypoint_ID
1736955022,10.153991679012346,76.3907081111111,0,7,95,0
1736955571,10.421403372654131,76.66085927082142,12300,352,21,1
1736955648,10.506826416678226,76.70236628436182,16625,317,46,2
1736955710,10.62753601065119,76.75746308559965,18700,336,45,3
1736955804,10.776186716332145,76.8203939127595,19700,414,46,4
1736955923,10.945157716286456,76.8865925846169,22350,445,13,5
1736956018,11.127644724340314,76.95327230563768,24650,451,13,6
1736956112,11.318330007150855,77.01920150905376,26350,466,13,7
1736956208,11.513554686146064,77.08408813016672,27675,480,13,8
1736956303,11.711104790845887,77.14799170128917,28825,490,13,9
1736956396,11.909813104123014,77.2109734340695,30425,486,13,10
1736956493,12.109154995583738,77.27299105035752,31775,488,15,11
1736956588,12.308936420422748,77.33394201110872,32000,486,15,12
1736956652,12.509097519196734,77.39375157892471,32000,486,15,13
1736956747,12.709605390214172,77.4524408390919,32000,489,15,14
1736956842,12.910415356548729,77.51012765892526,32000,487,15,15
1736956936,13.11147625670806,77.56695895168625,32275,490,15,16
1736957032,13.312749277270743,77.62301089737193,33650,487,3,17
1736957128,13.514231378668711,77.67818284603239,35000,485,3,18
1736957223,13.71597259927522,77.73211500851446,35900,490,3,19
1736957287,13.918079045387191,77.78416400686449,36000,489,3,20
1736957384,14.12069798535273,77.83346464349917,36000,487,3,21
1736957479,14.323985706364606,77.87908773424216,36000,488,3,22
1736957575,14.528065788567112,77.92026401301517,36000,489,3,23
1736957672,14.732992036597803,77.95660036700218,36000,489,3,24
1736957767,14.938731113169256,77.98819967241155,36000,487,3,25
1736957864,15.145172025593189,78.01563056959904,36000,485,3,26
1736957928,15.352157522945175,78.03976332358786,36000,487,3,27
1736958025,15.559522544700144,78.06154585445285,36000,491,3,28
1736958119,15.767125172576735,78.08180579167492,36000,494,3,29
1736958216,15.974862191506954,78.10112924632486,36000,491,3,30
1736958310,16.18267029080984,78.11981652679412,36000,488,3,31
1736958406,16.39051898719864,78.13788559550791,36000,493,3,32
