timestamp,lat,lon,altitude,speed,direction,waypoint_ID
1737040995,10.153991679012346,76.3907081111111,0,11,87,0
1737041996,10.421403372654131,76.66085927082142,17225,382,28,1
1737042028,10.506826416678226,76.70236628436182,18450,385,28,2
1737042124,10.62753601065119,76.75746308559965,21675,400,28,3
1737042188,10.776186716332145,76.8203939127595,23300,415,28,4
1737042284,10.945157716286456,76.8865925846169,25800,430,28,5
1737042380,11.127644724340314,76.95327230563768,28900,424,28,6
1737042478,11.318330007150855,77.01920150905376,29850,464,28,7
1737042573,11.513554686146064,77.08408813016672,31300,480,18,8
1737042668,11.711104790845887,77.14799170128917,32750,488,18,9
1737042733,11.909813104123014,77.2109734340695,33875,487,18,10
1737042829,12.109154995583738,77.27299105035752,33975,491,18,11
1737042924,12.308936420422748,77.33394201110872,34000,494,18,12
1737043019,12.509097519196734,77.39375157892471,34000,497,18,13
1737043116,12.709605390214172,77.4524408390919,33975,496,18,14
1737043212,12.910415356548729,77.51012765892526,33975,498,18,15
1737043276,13.11147625670806,77.56695895168625,33975,496,18,16
1737043372,13.312749277270743,77.62301089737193,33975,498,18,17
1737043469,13.514231378668711,77.67818284603239,33975,496,18,18
1737043565,13.71597259927522,77.73211500851446,33975,499,18,19
1737043662,13.918079045387191,77.78416400686449,33975,502,18,20
1737043726,14.12069798535273,77.83346464349917,33975,501,18,21
1737043824,14.323985706364606,77.87908773424216,33975,502,18,22
1737043920,14.528065788567112,77.92026401301517,33975,499,10,23
1737044014,14.732992036597803,77.95660036700218,33975,502,9,24
1737044109,14.938731113169256,77.98819967241155,33975,502,9,25
1737044175,15.145172025593189,78.01563056959904,33975,503,9,26
1737044271,15.352157522945175,78.03976332358786,33975,504,9,27
1737044367,15.559522544700144,78.06154585445285,33975,505,7,28
1737044463,15.767125172576735,78.08180579167492,33975,506,3,29
1737044556,15.974862191506954,78.10112924632486,33975,506,3,30
1737044619,16.18267029080984,78.11981652679412,33975,508,3,31
1737044715,16.39051898719864,78.13788559550791,33975,509,3,32
1737044808,16.598401350575152,78.15509799784533,35300,507,357,33
1737044903,16.806325690522307,78.17100569695916,35975,504,357,34
1737044999,17.014308473495255,78.18503422329727,35975,508,357,35
1737045062,17.222367707076643,78.19661062697293,36000,509,357,36
1737045159,17.430516590668915,78.20531316302339,36000,510,357,37
1737045254,17.638758323886687,78.21098723902375,35975,511,357,38
1737045350,17.847082776565195,78.21376990346705,35975,510,357,39
1737045413,18.05546504929316,78.21399806883615,35975,508,357,40
1737045507,18.263864507930467,78.21202640460123,35975,504,357,41
1737045603,18.472222739089812,78.20802190741115,35975,504,357,42
1737045698,18.68046079691369,78.20181174883378,35975,502,357,43
1737045793,18.888478895714755,78.19284432773253,35975,498,357,44
1737045888,19.096163074045776,78.18028954480712,35975,499,357,45
1737045952,19.303401320495293,78.16325910452946,35975,499,357,46
1737046048,19.510106436793,78.14107873646246,35975,505,357,47
1737046145,19.716237572663857,78.1135126155324,35975,506,357,48
1737046240,19.92181101242469,78.08085193502792,35975,503,357,49
1737046305,20.126894837528983,78.04383678174275,35975,505,357,50
1737046401,20.331590123955017,78.003458672281,35975,500,357,51
1737046496,20.53600747083258,77.96073736564827,35975,497,354,52
1737046591,20.740248697785496,77.91656272576309,35975,490,347,53
1737046686,20.94439977444528,77.87164271633473,35975,489,347,54
1737046782,21.148534954971748,77.82654673205869,35975,487,346,55
1737046879,21.35272719374521,77.78179703845348,35975,487,347,56
1737046943,21.55705760157928,77.73795061630145,35975,488,346,57
1737047038,21.7616172703183,77.695623731641,35975,489,346,58
1737047133,21.966498160951,77.65543764995141,35975,485,346,59
1737047226,22.17177525198118,77.61790168270977,35975,496,352,60
1737047322,22.37748742674377,77.58328468971064,35975,495,352,61
1737047419,22.583626504785705,77.55153946681057,35975,493,352,62
1737047516,22.790140226885768,77.52232095359082,35975,497,352,63
1737047580,22.996947973615534,77.49509084704368,35975,498,352,64
1737047677,23.20396197491938,77.46926235587799,35975,499,352,65
1737047773,23.41110559825161,77.44432919931619,35975,496,352,66
1737047870,23.618323791192363,77.41994645581349,35975,497,352,67
1737047964,23.82558566122376,77.39596282618038,35975,500,352,68
1737048059,24.032882140798076,77.37242172762762,35975,493,352,69
1737048123,24.240221636600623,77.3495438072052,35975,495,352,70
1737048218,24.447624821865613,77.32768830691326,35975,500,352,71
1737048312,24.655118317368867,77.30728233937825,35975,497,352,72
1737048406,24.86272711049589,77.28871703325987,35975,496,352,73
1737048502,25.07046687869739,77.27223281584294,35975,502,359,74
1737048596,25.278335068971177,77.25783641100593,35975,500,358,75
1737048691,25.48631133282337,77.24528627605633,35975,502,359,76
1737048755,25.694347011853225,77.23415606635665,35975,500,359,77
1737048849,25.90234813374916,77.2239563190218,35975,503,358,78
1737048945,26.11014499155405,77.21427429916073,35450,508,358,79
1737049042,26.317411595249787,77.20489654882255,33075,518,358,80
1737049104,26.523558426577345,77.19590303823102,31175,504,359,81
1737049200,26.727624156273897,77.18771663756641,28125,475,359,82
1737049295,26.92818812401609,77.18113261382705,24975,445,359,83
1737049393,27.12338488184912,77.17729117806796,21775,426,359,84
1737049486,27.311038369926035,77.17757790268709,19000,406,359,85
1737049612,27.488899968099528,77.18340784883114,15900,372,358,86
1737049708,27.654907931197226,77.19588315604605,13500,342,359,87
1737049802,27.80737648782599,77.21527881508524,11550,325,359,88
1737049887,27.9450680487134,77.24039816753069,10100,293,359,89
1737049995,28.0671819771346,77.26802390497339,8375,273,9,90
1737050088,28.17333886111472,77.29291438135562,7325,226,9,91
1737050166,28.26360339888014,77.30880152355672,5650,227,9,92
1737050243,28.33851203637173,77.31036213002994,4300,212,10,93
1737050306,28.39902677858604,77.29543541661616,3550,193,32,94
1737050417,28.446404908285807,77.26628912118764,2350,170,313,95
1737050502,28.482018260271253,77.22913847402407,2325,165,283,96
1737050556,28.50721431879122,77.19212124349244,2325,144,283,97
1737050602,28.52320737383829,77.16288023022997,1750,132,283,98
1737050633,28.53094058074128,77.14689349281619,1400,129,283,99
