timestamp,lat,lon,altitude,speed,direction,waypoint_ID
1732545981,10.153991679012346,76.3907081111111,0,3,357,0
1732547293,10.421403372654131,76.66085927082142,17775,305,27,1
1732547358,10.506826416678226,76.70236628436182,19825,324,27,2
1732547455,10.62753601065119,76.75746308559965,22050,362,27,3
1732547550,10.776186716332145,76.8203939127595,24075,390,27,4
1732547648,10.945157716286456,76.8865925846169,25625,422,27,5
1732547742,11.127644724340314,76.95327230563768,27125,438,27,6
1732547841,11.318330007150855,77.01920150905376,28575,450,27,7
1732547937,11.513554686146064,77.08408813016672,29825,461,27,8
1732548031,11.711104790845887,77.14799170128917,30925,472,27,9
1732548124,11.909813104123014,77.2109734340695,32275,474,27,10
1732548218,12.109154995583738,77.27299105035752,33775,472,17,11
1732548316,12.308936420422748,77.33394201110872,35000,472,15,12
1732548414,12.509097519196734,77.39375157892471,35975,471,15,13
1732548509,12.709605390214172,77.4524408390919,36000,460,15,14
1732548607,12.910415356548729,77.51012765892526,35975,464,15,15
1732548707,13.11147625670806,77.56695895168625,35975,463,15,16
1732548802,13.312749277270743,77.62301089737193,35975,464,15,17
1732548899,13.514231378668711,77.67818284603239,36000,471,15,18
1732548966,13.71597259927522,77.73211500851446,35975,474,2,19
1732549062,13.918079045387191,77.78416400686449,36000,472,2,20
1732549158,14.12069798535273,77.83346464349917,36050,480,2,21
1732549252,14.323985706364606,77.87908773424216,36000,473,2,22
1732549350,14.528065788567112,77.92026401301517,36000,462,2,23
1732549447,14.732992036597803,77.95660036700218,36000,463,2,24
1732549541,14.938731113169256,77.98819967241155,35975,460,2,25
1732549639,15.145172025593189,78.01563056959904,34350,450,2,26
1732549733,15.352157522945175,78.03976332358786,34000,440,2,27
1732549863,15.559522544700144,78.06154585445285,34000,446,2,28
1732549957,15.767125172576735,78.08180579167492,34000,452,2,29
1732550055,15.974862191506954,78.10112924632486,34050,462,2,30
1732550150,16.18267029080984,78.11981652679412,34000,457,2,31
1732550248,16.39051898719864,78.13788559550791,33975,460,2,32
1732550343,16.598401350575152,78.15509799784533,34000,462,2,33
1732550440,16.806325690522307,78.17100569695916,34000,460,2,34
1732550537,17.014308473495255,78.18503422329727,33975,459,2,35
1732550635,17.222367707076643,78.19661062697293,33975,460,2,36
1732550734,17.430516590668915,78.20531316302339,34000,460,2,37
1732550831,17.638758323886687,78.21098723902375,33975,459,2,38
1732550930,17.847082776565195,78.21376990346705,33975,459,2,39
1732551029,18.05546504929316,78.21399806883615,33975,462,2,40
1732551125,18.263864507930467,78.21202640460123,34025,464,2,41
1732551222,18.472222739089812,78.20802190741115,34000,462,2,42
1732551320,18.68046079691369,78.20181174883378,33975,459,2,43
1732551419,18.888478895714755,78.19284432773253,33975,460,2,44
1732551519,19.096163074045776,78.18028954480712,34000,462,2,45
1732551618,19.303401320495293,78.16325910452946,34000,462,2,46
1732551682,19.510106436793,78.14107873646246,34000,462,2,47
1732551779,19.716237572663857,78.1135126155324,33975,456,356,48
1732551876,19.92181101242469,78.08085193502792,33975,456,352,49
1732551974,20.126894837528983,78.04383678174275,34000,458,352,50
1732552072,20.331590123955017,78.003458672281,34000,460,352,51
1732552176,20.53600747083258,77.96073736564827,34000,458,352,52
1732552270,20.740248697785496,77.91656272576309,33975,456,352,53
1732552365,20.94439977444528,77.87164271633473,33975,458,352,54
1732552463,21.148534954971748,77.82654673205869,34000,458,352,55
1732552560,21.35272719374521,77.78179703845348,34025,457,352,56
1732552654,21.55705760157928,77.73795061630145,34000,452,352,57
1732552751,21.7616172703183,77.695623731641,33950,448,352,58
1732552851,21.966498160951,77.65543764995141,33975,447,352,59
1732552979,22.17177525198118,77.61790168270977,33975,446,352,60
1732553073,22.37748742674377,77.58328468971064,34000,447,352,61
1732553173,22.583626504785705,77.55153946681057,34000,449,352,62
1732553272,22.790140226885768,77.52232095359082,34000,450,352,63
1732553371,22.996947973615534,77.49509084704368,34000,449,352,64
1732553467,23.20396197491938,77.46926235587799,34000,447,352,65
1732553562,23.41110559825161,77.44432919931619,33975,446,352,66
1732553661,23.618323791192363,77.41994645581349,33975,446,352,67
1732553759,23.82558566122376,77.39596282618038,34000,446,352,68
1732553857,24.032882140798076,77.37242172762762,34000,444,352,69
1732553954,24.240221636600623,77.3495438072052,33975,442,352,70
1732554087,24.447624821865613,77.32768830691326,34000,446,352,71
1732554185,24.655118317368867,77.30728233937825,34000,445,352,72
1732554281,24.86272711049589,77.28871703325987,34000,443,352,73
1732554377,25.07046687869739,77.27223281584294,34000,448,358,74
1732554472,25.278335068971177,77.25783641100593,34000,443,358,75
1732554568,25.48631133282337,77.24528627605633,33975,440,358,76
1732554668,25.694347011853225,77.23415606635665,33975,426,357,77
1732554798,25.90234813374916,77.2239563190218,34000,412,358,78
1732554894,26.11014499155405,77.21427429916073,34000,411,358,79
1732555021,26.317411595249787,77.20489654882255,33975,408,357,80
1732555117,26.523558426577345,77.19590303823102,33150,408,357,81
1732555212,26.727624156273897,77.18771663756641,29900,394,357,82
1732555341,26.92818812401609,77.18113261382705,26175,362,357,83
1732555439,27.12338488184912,77.17729117806796,23500,403,357,84
1732555534,27.311038369926035,77.17757790268709,21325,390,357,85
1732555660,27.488899968099528,77.18340784883114,18650,340,357,86
1732555772,27.654907931197226,77.19588315604605,15800,323,9,87
1732555883,27.80737648782599,77.21527881508524,12950,304,9,88
1732555973,27.9450680487134,77.24039816753069,10675,291,9,89
1732556083,28.0671819771346,77.26802390497339,10000,239,9,90
1732556182,28.17333886111472,77.29291438135562,9775,238,9,91
1732556264,28.26360339888014,77.30880152355672,8575,220,10,92
1732556345,28.33851203637173,77.31036213002994,7475,188,23,93
1732556404,28.39902677858604,77.29543541661616,6125,190,21,94
1732556582,28.446404908285807,77.26628912118764,3500,158,283,95
1732556633,28.482018260271253,77.22913847402407,2975,156,283,96
1732556690,28.50721431879122,77.19212124349244,2475,139,283,97
1732556736,28.52320737383829,77.16288023022997,1925,124,283,98
1732556766,28.53094058074128,77.14689349281619,1600,122,283,99
