         7433371 function calls (7304118 primitive calls) in 5.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.003    0.000    0.262    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\joblib\numpy_pickle.py:604(load)
40200/300    0.023    0.000    0.259    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\joblib\numpy_pickle.py:322(save)
40200/300    0.066    0.000    0.258    0.001 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:535(save)
        1    0.002    0.002    0.257    0.257 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:215(filtered_files)
 2300/300    0.007    0.000    0.253    0.001 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:621(save_reduce)
     1100    0.005    0.000    0.245    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\parallel.py:161(wrapper)
4091/3764    0.028    0.000    0.240    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\series.py:389(__init__)
 1300/300    0.002    0.000    0.237    0.001 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:965(save_dict)
 1300/300    0.008    0.000    0.236    0.001 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:978(_batch_setitems)
     5970    0.042    0.000    0.231    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geographiclib\geodesic.py:624(_Lambda12)
     1600    0.009    0.000    0.213    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\validation.py:2835(validate_data)
     1200    0.003    0.000    0.199    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\base.py:428(_validate_params)
      300    0.001    0.000    0.189    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\joblib\numpy_pickle.py:566(_unpickle)
908794/908314    0.106    0.000    0.185    0.000 {built-in method builtins.isinstance}
      300    0.042    0.000    0.183    0.001 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:1187(load)
     4853    0.017    0.000    0.183    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\extmath.py:1169(stable_cumsum)
     1027    0.182    0.000    0.182    0.000 {built-in method io.open}
      327    0.002    0.000    0.182    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
  500/400    0.001    0.000    0.170    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_set_output.py:317(wrapped)
      900    0.002    0.000    0.161    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\metrics\pairwise.py:2266(pairwise_distances)
      327    0.003    0.000    0.160    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\parsers\readers.py:1575(__init__)
      900    0.002    0.000    0.159    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\metrics\pairwise.py:1964(_parallel_pairwise)
      100    0.004    0.000    0.158    0.002 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:586(filter_waypoints)
     3000    0.024    0.000    0.157    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geographiclib\geodesic.py:275(__init__)
     8970    0.033    0.000    0.156    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geographiclib\geodesic.py:430(_Lengths)
      327    0.004    0.000    0.145    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\parsers\readers.py:1848(_make_engine)
      900    0.003    0.000    0.143    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\validation.py:1203(check_X_y)
      900    0.002    0.000    0.142    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\metrics\pairwise.py:273(euclidean_distances)
      502    0.006    0.000    0.141    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\frame.py:4062(__getitem__)
     2100    0.018    0.000    0.140    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_param_validation.py:28(validate_parameter_constraints)
        2    0.000    0.000    0.138    0.069 D:\mini project\FPO\FINAL\env\Lib\site-packages\urllib3\connection.py:369(request)
        4    0.000    0.000    0.138    0.034 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\http\client.py:967(send)
        2    0.000    0.000    0.137    0.069 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\http\client.py:1266(endheaders)
        2    0.000    0.000    0.137    0.069 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\http\client.py:1028(_send_output)
        2    0.000    0.000    0.137    0.068 D:\mini project\FPO\FINAL\env\Lib\site-packages\urllib3\connection.py:275(connect)
        2    0.000    0.000    0.137    0.068 D:\mini project\FPO\FINAL\env\Lib\site-packages\urllib3\connection.py:192(_new_conn)
        2    0.000    0.000    0.137    0.068 D:\mini project\FPO\FINAL\env\Lib\site-packages\urllib3\util\connection.py:27(create_connection)
     4300    0.032    0.000    0.134    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\validation.py:90(_assert_all_finite)
     3201    0.005    0.000    0.134    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\frame.py:1505(iterrows)
     1000    0.061    0.000    0.134    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
      100    0.000    0.000    0.130    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\util\_decorators.py:325(wrapper)
      100    0.001    0.000    0.130    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\generic.py:3797(to_csv)
    12325    0.044    0.000    0.129    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
      427    0.006    0.000    0.125    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\common.py:664(get_handle)
      100    0.001    0.000    0.124    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\formats\format.py:965(to_csv)
    10746    0.039    0.000    0.120    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\extmath.py:47(row_norms)
     4853    0.011    0.000    0.120    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\numpy\_core\numeric.py:2243(allclose)
      100    0.001    0.000    0.118    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\formats\csvs.py:246(save)
        2    0.117    0.059    0.117    0.059 {method 'connect' of '_socket.socket' objects}
     2100    0.002    0.000    0.117    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\inspect.py:3270(signature)
      327    0.061    0.000    0.116    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:222(read)
     2100    0.002    0.000    0.115    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\inspect.py:3016(from_callable)
     1000    0.060    0.000    0.114    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\validation.py:1490(check_random_state)
     2100    0.012    0.000    0.113    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\inspect.py:2422(_signature_from_callable)
      327    0.001    0.000    0.109    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\managers.py:2121(create_block_manager_from_column_arrays)
